I
1200 Generated by WorldEditor 2.5.0b3

1    470 0 0 EDDP Leipzig-Halle
1302 city Leipzig
1302 country DEU
1302 datum_lat 51.423991667
1302 datum_lon 12.236383333
1302 faa_code 
1302 gui_label 2D
1302 iata_code LEJ
1302 icao_code EDDP
1302 region_code ED
1302 state Saxony
1302 transition_alt 5000
1302 transition_level 
1302 flatten 1
100 45.11 2 0 0.00 1 3 0 08L  51.43123688  012.21581733 0 0 3 2 1 0 26R  51.43368175  012.26757631 0 0 3 2 1 0
100 60.05 2 0 0.00 1 3 0 08R  51.41159227  012.20455822 0 0 3 2 1 0 26L  51.41403261  012.25640985 0 0 3 2 1 0
110 1 0.00 0.0 New Taxiway 12
111  51.40949714  012.20405721
111  51.40943950  012.20386267
111  51.40930298  012.20317045
111  51.40899397  012.19660351
111  51.40857810  012.19666513
111  51.40850296  012.19707131
111  51.40846102  012.19717216
111  51.40841559  012.19718617
111  51.40763627  012.19694526
111  51.40729029  012.19698448
111  51.40727631  012.19705731
111  51.40753071  012.20298282
111  51.40739785  012.20301670
111  51.40752592  012.20676001
111  51.40831271  012.20669236
111  51.40836690  012.20796651
111  51.40808174  012.20800930
111  51.40813665  012.20932460
111  51.40857203  012.20928725
111  51.40856766  012.20897444
111  51.40881229  012.20895110
111  51.40893461  012.20886939
111  51.40903825  012.20912190
111  51.40912999  012.20989227
111  51.40921006  012.21135511
111  51.40894432  012.21140958
111  51.40900926  012.21300068
111  51.40926695  012.21295478
111  51.40937142  012.21487000
111  51.40992839  012.21480970
111  51.40989441  012.21418134
111  51.40981918  012.21414632
111  51.40975729  012.21409574
111  51.40967842  012.21394983
111  51.40963959  012.21377281
111  51.40957528  012.21348489
111  51.40952067  012.21318725
111  51.40950247  012.21294602
111  51.40975608  012.21289544
111  51.40968327  012.21132163
111  51.40942602  012.21134303
111  51.40939447  012.21079833
111  51.40939811  012.21066604
111  51.40942724  012.21037618
112  51.40947941  012.21022055  51.40948184  012.21021666
112  51.40953402  012.21013884  51.40954009  012.21013495
111  51.40962745  012.21007076
111  51.40970997  012.21003963
111  51.40968084  012.20961943
112  51.40953280  012.20954745  51.40953159  012.20954745
111  51.40943816  012.20943267
111  51.40937506  012.20930623
111  51.40932652  012.20906305
111  51.40929376  012.20863702
111  51.40923673  012.20769157
111  51.40930953  012.20683561
111  51.40933501  012.20671500
111  51.40937870  012.20656715
111  51.40945515  012.20650684
113  51.40954615  012.20648350
110 1 0.00 0.0 New Taxiway 11
111  51.41344258  012.25310744
111  51.41325551  012.25353221
111  51.41313214  012.25373649
111  51.41302698  012.25388403
111  51.41286393  012.25404125
111  51.41277039  012.25409259
112  51.41268023  012.25411151  51.41267517  012.25410881
111  51.41258079  012.25408719
111  51.41248979  012.25401558
111  51.41243585  012.25395749
111  51.41237771  012.25382508
111  51.41228220  012.25348241
111  51.41220182  012.25180152
111  51.41196772  012.24713749
111  51.41199563  012.24686707
111  51.41204781  012.24671143
111  51.41214610  012.24653633
112  51.41224682  012.24644490  51.41224924  012.24644295
111  51.41234753  012.24640404
111  51.41256474  012.24644101
111  51.41298095  012.24660249
111  51.41300886  012.24616475
111  51.41265332  012.24612778
111  51.41230057  012.24598682
111  51.41218630  012.24594791
111  51.41207406  012.24584901
111  51.41199620  012.24573066
111  51.41191530  012.24556530
111  51.41188699  012.24537237
111  51.41190721  012.24515026
111  51.41195171  012.24492004
111  51.41204271  012.24472874
111  51.41211855  012.24463146
111  51.41223181  012.24458283
111  51.41231574  012.24459580
111  51.41260091  012.24468337
111  51.41303426  012.24489909
111  51.41306396  012.24440322
111  51.41285079  012.24437801
111  51.41267256  012.24433878
111  51.41202254  012.24407264
111  51.41190721  012.24399140
111  51.41189848  012.24384292
111  51.41235341  012.24234038
111  51.41284850  012.24065481
111  51.41275531  012.24015053
111  51.41253106  012.24093029
111  51.41201465  012.24270415
111  51.41194791  012.24293177
111  51.41190059  012.24295706
111  51.41183992  012.24294928
111  51.41179745  012.24291037
111  51.41177803  012.24278781
111  51.41173566  012.24191710
111  51.41135146  012.23386965
111  51.41136073  012.23360755
111  51.41138133  012.23343022
111  51.41143084  012.23324112
111  51.41150074  012.23311972
111  51.41159975  012.23303568
111  51.41169440  012.23297264
111  51.41185312  012.23295164
111  51.41244722  012.23289327
111  51.41243412  012.23251974
111  51.41197122  012.23258107
111  51.41164238  012.23260831
111  51.41154166  012.23257524
111  51.41146886  012.23251882
111  51.41141183  012.23245656
111  51.41134509  012.23233011
111  51.41130626  012.23215891
111  51.41128441  012.23201300
111  51.41125772  012.23159862
